2-13 FRAT ML (大类) 、控股情况分组的企业法人单位从业人员数
fies 区 oe
peg                                                     342081484,     35722492      3967889    282549852,     10339681       9436838
教育                                                  al      2741707         53992        15064      2647672         8613,        16334
教育                                                83      2741707        53992         15064,      (2647672          8613         16334,
卫生和社会工作                                        Q      2891173        94932        30596       2720657         26418         18570
卫生                                                84      2487370         76334        (27299      (2344511         23000         16226
社会工作                                            85       403803         18598          3297       376146          3418         (2344
文化、体育和娱乐业                                    R      (4253552       407863,        29382      3758094        36583        21627
新闻和出版业                                        86        172479        130134          1552        40591           152            50
广播、电视、电影和录音制作业                        87       589303        86474         7345       490273         4246          965
文化艺术业                                          88        905101         82991          5796        812283         2791          1240
体育                                                89        563086        27298          3148        503947         16488         12202
娱乐业                                              90      2023583         80966         11541       1911000         12906          7170
