country,industry_id,name_zh,name_en,bea_line,period,current_value_added_usd_million,source_url,sheet,cell,release_date,vintage
US,us-wholesale,批发业,Wholesale trade,34,2024,1706289,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE42,2026-06-25,2026-06-25
US,us-wholesale,批发业,Wholesale trade,34,2025,1905380,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF42,2026-06-25,2026-06-25
US,us-retail,零售业,Retail trade,35,2021,1537411,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB43,2026-06-25,2026-06-25
US,us-retail,零售业,Retail trade,35,2022,1647845,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC43,2026-06-25,2026-06-25
US,us-retail,零售业,Retail trade,35,2023,1779566,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD43,2026-06-25,2026-06-25
US,us-retail,零售业,Retail trade,35,2024,1849039,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE43,2026-06-25,2026-06-25
US,us-retail,零售业,Retail trade,35,2025,1921751,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF43,2026-06-25,2026-06-25
US,us-transport,运输和仓储业,Transportation and warehousing,40,2021,779275,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB48,2026-06-25,2026-06-25
US,us-transport,运输和仓储业,Transportation and warehousing,40,2022,912104,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC48,2026-06-25,2026-06-25
US,us-transport,运输和仓储业,Transportation and warehousing,40,2023,946065,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD48,2026-06-25,2026-06-25
US,us-transport,运输和仓储业,Transportation and warehousing,40,2024,987302,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE48,2026-06-25,2026-06-25
US,us-transport,运输和仓储业,Transportation and warehousing,40,2025,1023864,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF48,2026-06-25,2026-06-25
US,us-information,信息业,Information,49,2021,1312628,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB57,2026-06-25,2026-06-25
US,us-information,信息业,Information,49,2022,1383492,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC57,2026-06-25,2026-06-25
US,us-information,信息业,Information,49,2023,1491283,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD57,2026-06-25,2026-06-25
US,us-information,信息业,Information,49,2024,1592692,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE57,2026-06-25,2026-06-25
US,us-information,信息业,Information,49,2025,1695042,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF57,2026-06-25,2026-06-25
US,us-finance,金融和保险业,Finance and insurance,55,2021,1862356,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB63,2026-06-25,2026-06-25
US,us-finance,金融和保险业,Finance and insurance,55,2022,1982604,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC63,2026-06-25,2026-06-25
US,us-finance,金融和保险业,Finance and insurance,55,2023,2075720,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD63,2026-06-25,2026-06-25
US,us-finance,金融和保险业,Finance and insurance,55,2024,2229155,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE63,2026-06-25,2026-06-25
US,us-finance,金融和保险业,Finance and insurance,55,2025,2441825,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AF63,2026-06-25,2026-06-25
US,us-real-estate,房地产及租赁业,Real estate and rental and leasing,60,2021,3152283,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AB68,2026-06-25,2026-06-25
US,us-real-estate,房地产及租赁业,Real estate and rental and leasing,60,2022,3472481,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AC68,2026-06-25,2026-06-25
US,us-real-estate,房地产及租赁业,Real estate and rental and leasing,60,2023,3807716,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AD68,2026-06-25,2026-06-25
US,us-real-estate,房地产及租赁业,Real estate and rental and leasing,60,2024,4052400,https://apps.bea.gov/industry/Release/XLS/GDPxInd/ValueAdded.xlsx,TVA105-A,AE68,2026-06-25,2026-06-25
