STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,A,"Agriculture, forestry and fishing",_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1400031.275,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,BTE,Industry (except construction),_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,5633103.173,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,F,Construction,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1249731.311,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,RTU,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,4890980.687,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,18743802.247,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,3216193.089,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1369146.533,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,RTU,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,5101286.368,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,19549760.879,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1GXP119,"Value added, gross, excluding FISIM",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,18743802.247,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1GXP119,"Value added, gross, excluding FISIM",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,19549760.879,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,19549760.879,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,_T,Total - all activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,18743802.247,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,A,"Agriculture, forestry and fishing",_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1342313.572,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,BTE,Industry (except construction),_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,5875319.137,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,F,Construction,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1303468.1,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,3083602.281,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,K,Financial and insurance activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",VQ,Current prices (constant converter),N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1428018.018,,2020,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,RTU,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,35202790,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CNY,Chinese yuan renminbi
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_OUTPUT(2.0),Annual GDP and components - output approach,I,A,Annual,CHN,China (People’s Republic of),S1,Total economy,S1,Total economy,B1G,"Value added, gross",_Z,Not applicable,L,Real estate activities,_Z,Not applicable,USD_EXC,"US dollars, exchange rate converted",V,Current prices,N,Non transformed data,T0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,2024,,1174926.078,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,_Z,Not applicable
